order_id,user_id,age,city,order_time,day_type,cuisine,meal_type,restaurant_type,order_value,discount_applied,delivery_fee,time_taken_to_order,rating_given,is_repeat_order,mood,hunger_level,company,rainy_weather
1,2698,35,Pune,Evening,Weekend,Chinese,Dinner,Premium,971,Yes,90,13,1,Yes,Celebrating,High,Partner,No
2,3237,44,Mumbai,Night,Weekend,South Indian,Dinner,Budget,442,No,26,13,2,No,Lazy,Low,Family,No
3,3626,31,Delhi,Morning,Weekend,Biryani,Breakfast,Mid-range,739,Yes,85,10,2,Yes,Happy,Medium,Friends,No
4,3176,23,Delhi,Evening,Weekend,Biryani,Snacks,Mid-range,466,No,44,12,2,No,Happy,Medium,Alone,No
5,4824,26,Chandigarh,Morning,Weekday,Chinese,Lunch,Premium,927,Yes,58,13,2,No,Happy,Medium,Partner,Yes
6,2854,33,Mumbai,Afternoon,Weekend,Biryani,Dinner,Budget,207,No,42,1,1,No,Stressed,High,Partner,No
7,3019,33,Bangalore,Evening,Weekday,Chinese,Lunch,Budget,565,No,28,1,4,Yes,Stressed,Low,Alone,No
8,1505,24,Mumbai,Evening,Weekday,Fast Food,Lunch,Budget,598,Yes,51,10,2,Yes,Happy,Medium,Partner,Yes
9,3157,37,Mumbai,Night,Weekend,North Indian,Breakfast,Mid-range,469,No,29,8,3,Yes,Celebrating,Medium,Friends,No
10,1704,21,Pune,Afternoon,Weekday,Biryani,Dinner,Mid-range,549,No,51,6,2,Yes,Lazy,Medium,Alone,Yes
11,3729,27,Mumbai,Morning,Weekend,Desserts,Snacks,Premium,857,Yes,34,10,1,Yes,Lazy,Medium,Family,Yes
12,1058,23,Bangalore,Evening,Weekend,Desserts,Snacks,Budget,982,Yes,60,6,5,Yes,Happy,High,Alone,No
13,2432,25,Mumbai,Afternoon,Weekday,Biryani,Breakfast,Premium,319,Yes,20,11,3,Yes,Stressed,High,Partner,Yes
14,1428,37,Chandigarh,Night,Weekday,North Indian,Lunch,Mid-range,439,No,62,7,3,Yes,Lazy,Low,Partner,Yes
15,2465,30,Hyderabad,Morning,Weekday,Biryani,Dinner,Budget,470,Yes,42,5,5,Yes,Happy,High,Family,Yes
16,2060,34,Chandigarh,Afternoon,Weekend,South Indian,Dinner,Premium,465,No,20,12,4,Yes,Happy,High,Friends,No
17,3892,29,Chandigarh,Night,Weekend,Fast Food,Dinner,Premium,644,Yes,62,14,1,No,Lazy,Low,Friends,No
18,4600,31,Bangalore,Evening,Weekend,South Indian,Snacks,Premium,310,Yes,29,12,2,Yes,Stressed,Low,Partner,Yes
19,1747,20,Mumbai,Night,Weekday,Desserts,Breakfast,Budget,547,No,87,10,5,Yes,Lazy,Low,Family,Yes
20,1619,36,Mumbai,Afternoon,Weekend,Desserts,Dinner,Mid-range,117,Yes,62,13,5,Yes,Happy,Low,Partner,Yes
21,4797,42,Delhi,Evening,Weekday,Fast Food,Breakfast,Premium,832,Yes,68,10,4,No,Stressed,High,Partner,Yes
22,2030,36,Mumbai,Morning,Weekend,Chinese,Snacks,Budget,641,Yes,55,1,5,Yes,Lazy,Low,Alone,No
23,3537,27,Pune,Evening,Weekend,South Indian,Snacks,Mid-range,100,Yes,44,13,4,Yes,Celebrating,Low,Partner,Yes
24,3026,38,Bangalore,Evening,Weekday,Biryani,Breakfast,Mid-range,704,Yes,31,1,4,No,Celebrating,Medium,Partner,No
25,1542,44,Mumbai,Evening,Weekday,Fast Food,Breakfast,Mid-range,591,Yes,79,5,5,Yes,Lazy,Low,Friends,No
26,1501,20,Chandigarh,Evening,Weekend,South Indian,Breakfast,Mid-range,607,No,26,13,3,No,Lazy,Low,Family,Yes
27,2684,27,Mumbai,Morning,Weekday,Chinese,Breakfast,Premium,498,No,98,2,4,No,Lazy,Low,Alone,Yes
28,4203,25,Pune,Afternoon,Weekend,Chinese,Lunch,Mid-range,777,No,20,1,2,No,Celebrating,High,Alone,No
29,3245,28,Delhi,Evening,Weekend,Chinese,Breakfast,Mid-range,427,No,31,7,3,No,Celebrating,Medium,Family,No
30,2329,27,Bangalore,Night,Weekend,Desserts,Snacks,Mid-range,241,No,55,12,1,Yes,Lazy,Medium,Partner,No
31,4832,42,Mumbai,Afternoon,Weekday,Biryani,Snacks,Premium,844,No,78,9,5,No,Lazy,Medium,Partner,No
32,3450,44,Bangalore,Night,Weekday,South Indian,Dinner,Budget,141,Yes,36,10,1,Yes,Celebrating,High,Family,No
33,1575,18,Bangalore,Night,Weekend,Fast Food,Snacks,Premium,476,No,99,3,1,Yes,Celebrating,High,Partner,Yes
34,4000,30,Bangalore,Afternoon,Weekday,North Indian,Dinner,Budget,690,Yes,24,13,4,No,Stressed,Low,Friends,No
35,4046,28,Delhi,Night,Weekend,Desserts,Lunch,Mid-range,187,Yes,99,3,4,Yes,Stressed,Low,Partner,Yes
36,3284,26,Chandigarh,Afternoon,Weekday,North Indian,Lunch,Premium,478,No,87,6,5,No,Happy,High,Family,Yes
37,1231,18,Chandigarh,Evening,Weekend,Fast Food,Breakfast,Mid-range,643,Yes,68,5,1,Yes,Stressed,High,Family,No
38,4018,32,Delhi,Afternoon,Weekend,North Indian,Breakfast,Premium,838,No,73,4,3,Yes,Lazy,High,Partner,No
39,1729,34,Pune,Evening,Weekend,Desserts,Snacks,Mid-range,297,No,62,13,4,No,Celebrating,Low,Alone,Yes
40,3433,42,Bangalore,Afternoon,Weekend,Biryani,Breakfast,Mid-range,365,No,20,8,1,No,Stressed,High,Family,Yes
41,1391,30,Mumbai,Evening,Weekday,Chinese,Dinner,Budget,700,No,54,2,4,No,Lazy,Low,Family,Yes
42,4908,36,Delhi,Evening,Weekday,Biryani,Dinner,Budget,653,Yes,82,10,4,Yes,Lazy,Low,Alone,No
43,1809,19,Pune,Night,Weekend,South Indian,Snacks,Premium,959,Yes,56,7,2,No,Celebrating,High,Friends,Yes
44,3344,25,Hyderabad,Evening,Weekend,Desserts,Snacks,Premium,364,Yes,47,2,4,Yes,Happy,High,Family,Yes
45,4687,23,Bangalore,Afternoon,Weekend,Desserts,Snacks,Mid-range,355,No,39,12,5,Yes,Happy,Medium,Family,Yes
46,2454,38,Pune,Evening,Weekend,South Indian,Dinner,Budget,807,Yes,37,9,1,No,Lazy,Low,Friends,No
47,3011,19,Bangalore,Morning,Weekday,North Indian,Dinner,Budget,149,Yes,62,5,5,No,Lazy,High,Family,Yes
48,2967,33,Pune,Morning,Weekend,South Indian,Snacks,Mid-range,888,No,46,6,2,No,Stressed,High,Family,No
49,2905,39,Pune,Morning,Weekday,Chinese,Snacks,Budget,937,Yes,83,8,3,Yes,Stressed,High,Alone,No
50,4030,23,Chandigarh,Evening,Weekday,South Indian,Lunch,Mid-range,272,Yes,41,13,2,No,Happy,Medium,Friends,Yes
51,2863,32,Chandigarh,Afternoon,Weekend,Desserts,Dinner,Mid-range,193,Yes,50,5,2,Yes,Happy,Medium,Partner,No
52,3874,43,Delhi,Evening,Weekday,Fast Food,Breakfast,Budget,943,No,24,7,1,Yes,Celebrating,Low,Partner,No
53,4559,30,Bangalore,Night,Weekend,North Indian,Dinner,Budget,479,Yes,82,2,2,No,Lazy,Medium,Alone,No
54,4142,24,Pune,Afternoon,Weekday,Fast Food,Dinner,Mid-range,514,Yes,96,7,3,No,Celebrating,Low,Family,No
55,4378,19,Bangalore,Night,Weekend,Fast Food,Lunch,Premium,578,Yes,95,10,4,Yes,Lazy,Low,Alone,No
56,4163,26,Chandigarh,Afternoon,Weekend,Biryani,Breakfast,Budget,164,Yes,90,7,4,No,Stressed,Low,Alone,Yes
57,4277,21,Bangalore,Afternoon,Weekend,Biryani,Snacks,Premium,490,No,42,7,5,Yes,Stressed,Medium,Alone,No
58,3725,36,Chandigarh,Morning,Weekend,North Indian,Breakfast,Premium,401,Yes,37,3,1,Yes,Celebrating,Low,Partner,No
59,3301,35,Bangalore,Night,Weekend,Fast Food,Dinner,Budget,314,Yes,28,5,1,Yes,Lazy,High,Alone,No
60,2808,33,Mumbai,Morning,Weekend,South Indian,Lunch,Premium,240,No,85,5,2,No,Lazy,Medium,Family,No
61,1436,30,Hyderabad,Morning,Weekend,Chinese,Lunch,Budget,368,Yes,31,8,3,No,Happy,Medium,Friends,Yes
62,4586,39,Delhi,Afternoon,Weekend,Desserts,Breakfast,Mid-range,799,Yes,28,5,1,No,Lazy,High,Family,Yes
63,1517,22,Chandigarh,Morning,Weekday,South Indian,Lunch,Mid-range,708,Yes,22,8,5,No,Celebrating,Low,Partner,Yes
64,1117,18,Pune,Afternoon,Weekend,Desserts,Dinner,Budget,757,No,91,2,1,Yes,Happy,High,Friends,No
65,1562,24,Delhi,Night,Weekend,Chinese,Snacks,Mid-range,266,Yes,44,8,3,Yes,Happy,Low,Friends,No
66,3387,40,Delhi,Morning,Weekend,Desserts,Dinner,Budget,422,No,87,8,1,No,Stressed,Medium,Friends,No
67,2538,41,Pune,Afternoon,Weekend,Chinese,Snacks,Mid-range,127,Yes,61,2,1,No,Happy,High,Family,Yes
68,3702,44,Pune,Evening,Weekend,Biryani,Dinner,Mid-range,241,No,26,14,4,Yes,Celebrating,High,Alone,Yes
69,1854,24,Hyderabad,Morning,Weekend,South Indian,Dinner,Premium,863,Yes,85,1,1,No,Celebrating,Low,Alone,No
70,2886,44,Mumbai,Afternoon,Weekend,Desserts,Dinner,Budget,778,Yes,60,9,4,No,Lazy,Medium,Friends,No
71,4823,20,Hyderabad,Night,Weekday,South Indian,Dinner,Budget,196,Yes,37,3,1,Yes,Stressed,Low,Family,Yes
72,3912,28,Delhi,Morning,Weekday,Chinese,Snacks,Premium,174,No,53,9,2,No,Celebrating,High,Family,Yes
73,1731,30,Mumbai,Evening,Weekday,Chinese,Breakfast,Premium,558,Yes,55,13,4,No,Celebrating,High,Partner,No
74,1514,20,Pune,Night,Weekend,North Indian,Snacks,Premium,706,Yes,29,8,4,No,Lazy,Medium,Family,No
75,1605,41,Delhi,Afternoon,Weekend,Desserts,Lunch,Mid-range,439,Yes,35,14,1,No,Happy,Low,Partner,No
76,1622,32,Mumbai,Night,Weekday,Desserts,Dinner,Budget,239,Yes,91,3,2,Yes,Happy,Medium,Alone,No
77,2224,22,Chandigarh,Night,Weekday,Desserts,Dinner,Premium,401,Yes,54,13,4,Yes,Celebrating,Low,Alone,No
78,4268,25,Bangalore,Evening,Weekend,Desserts,Lunch,Mid-range,844,No,31,5,1,Yes,Stressed,Low,Friends,Yes
79,2239,36,Bangalore,Night,Weekend,Fast Food,Snacks,Mid-range,489,No,76,8,4,Yes,Stressed,Medium,Alone,Yes
80,4750,39,Delhi,Evening,Weekday,Desserts,Snacks,Premium,792,No,27,4,4,No,Happy,Medium,Alone,No
81,2660,20,Chandigarh,Afternoon,Weekend,South Indian,Breakfast,Mid-range,260,No,76,5,4,Yes,Stressed,High,Partner,No
82,4644,22,Bangalore,Afternoon,Weekday,Biryani,Breakfast,Premium,652,Yes,95,5,1,Yes,Celebrating,High,Family,Yes
83,2201,19,Chandigarh,Night,Weekday,Desserts,Dinner,Premium,808,No,25,11,5,Yes,Celebrating,Low,Friends,No
84,3829,36,Delhi,Evening,Weekday,Fast Food,Snacks,Premium,349,Yes,53,13,1,No,Celebrating,High,Friends,Yes
85,3146,33,Chandigarh,Morning,Weekday,South Indian,Lunch,Budget,161,Yes,49,9,4,No,Stressed,Medium,Alone,Yes
86,3141,26,Mumbai,Evening,Weekend,Chinese,Dinner,Premium,753,Yes,51,4,5,Yes,Celebrating,Medium,Friends,Yes
